
fuzzy_threshold=100
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid
mbhZ3gSR3NMJ	dynam sampl select approxim queri process	babcock chaudhuri das	"sigmod conference,"	2003	56874
journals/sigmod/WestmannKHM00	implement perform compress databas	westmann kossmann helmer moerkotte	sigmod record	2000	298
9jyzas_rFd4J	implement perform compress databas	westmann kossmann helmer moerkotte	"sigmod record,"	2000	51865
journals/sigmod/ArpinarD00	provis market servic eco compliant electron market place	arpinar dogac	sigmod record	2000	307
YQQMvRraFBwJ	provis market servic eco compliant electron market place	arpinar dogac	"sigmod record,"	2000	2496
conf/sigmod/ReissK03	character sensit queri optim storag access cost paramet	reiss kanungo	sigmod conference	2003	309
L1m30vG-d5sJ	character sensit queri optim storag access cost paramet	reiss kanungo	"sigmod conference,"	2003	17059
conf/sigmod/PapadiasTFS03	optim progress algorithm skylin queri	papadias tao seeger	sigmod conference	2003	317
MkRJhOROQjsJ	optim progress algorithm skylin queri	papadias tao seeger	"sigmod conference,"	2003	5601
journals/sigmod/LeeC00	compar analysi six xml schema languag	lee chu	sigmod record	2000	323
Knzz_bkGA00J	compar analysi six xml schema languag	lee chu	"acm sigmod record,"	2000	43006
journals/sigmod/Halevy00	theori answer queri use view	halevy	sigmod record	2000	337
czgyMu7SHcgJ	theori answer queri use view	halevy	"sigmod record,"	2000	53325
journals/sigmod/RashidS00	object databas evolut use separ concern	rashid sawyer	sigmod record	2000	339
e0GH54HirssJ	object databas evolut use separ concern	rashid sawyer	"sigmod record,"	2000	44136
conf/sigmod/ChaudhuriKN03	relat support xml publish beyond sort tag	chaudhuri kaushik naughton	sigmod conference	2003	341
ES6QyfgebIcJ	relat support xml publish beyond sort tag	chaudhuri kaushik naughton	"sigmod conference,"	2003	37781
journals/sigmod/Jhingran00	move food chain support ecommerc applic databas	jhingran	sigmod record	2000	342
lrGge6mTVckJ	move food chain support ecommerc applic databas	jhingran	"sigmod record,"	2000	16669
conf/sigmod/KimC03	qcluster relev feedback use adapt cluster contentbas imag retriev	kim chung	sigmod conference	2003	344
BWV2Oys1VXsJ	qcluster relev feedback use adapt cluster contentbas imag retriev	kim chung	"sigmod conference,"	2003	33084
conf/sigmod/GangulyGR03	process set express continu updat stream	ganguly garofalakis rastogi	sigmod conference	2003	353
Di-EjDZ_abYJ	process set express continu updat stream	ganguly garofalakis rastogi	"sigmod conference,"	2003	17022
conf/sigmod/ChaudhuriGGM03	robust effici fuzzi match onlin data clean	chaudhuri ganjam ganti motwani	sigmod conference	2003	356
H5IdN0_MQw4J	robust effici fuzzi match onlin data clean	chaudhuri ganjam ganti motwani	"sigmod conference,"	2003	37106
conf/sigmod/KementsietsidisAM03	map data peertop system semant algorithm issu	kementsietsidis arenas miller	sigmod conference	2003	357
uCU2G94_fOIJ	map data peertop system semant algorithm issu	kementsietsidis arenas miller	"sigmod conference,"	2003	45282
conf/sigmod/StoltePAG03	scientif data repositori design move target	stolte praun alonso gross	sigmod conference	2003	359
9WTNlminW6AJ	scientif data repositori design move target	stolte praun alonso gross	"sigmod conference,"	2003	5547
conf/sigmod/GuptaS03	stream process xpath queri predic	gupta suciu	sigmod conference	2003	361
6ditJPVnXAQJ	stream process xpath queri predic	gupta suciu	"sigmod conference,"	2003	35223
conf/sigmod/MaddenFHH03	design acquisit queri processor sensor network	madden franklin hellerstein hong	sigmod conference	2003	368
qz24tfFNHuoJ	design acquisit queri processor sensor network	madden franklin hellerstein hong	"sigmod conference,"	2003	21321
journals/sigmod/BertinoEH01	qualiti servic multimedia digit librari	bertino elmagarmid hacid	sigmod record	2001	370
Rba70P6SqQYJ	qualiti servic multimedia digit librari	bertino elmagarmid hacid	"sigmod record,"	2001	33915
journals/sigmod/FengJH01	toward knowledgebas digit librari	feng jeusfeld hoppenbrouwers	sigmod record	2001	372
SUT-QTwqFNkJ	toward knowledgebas digit librari	feng jeusfeld hoppenbrouwers	"sigmod record,"	2001	57526
conf/sigmod/Dyreson03	tempor coalesc granular incomplet inform	dyreson	sigmod conference	2003	373
l7KC1qG6OGEJ	tempor coalesc granular incomplet inform	dyreson	"sigmod conference,"	2003	1430
conf/sigmod/ZhuS03	warp index envelop transform queri hum	zhu shasha	sigmod conference	2003	376
hIGjgc6mx0cJ	warp index envelop transform queri hum	zhu shasha	"sigmod conference,"	2003	11354
conf/sigmod/MelnikRB03	rondo program platform gener model manag	melnik rahm bernstein	sigmod conference	2003	378
wfjeWtEY2NcJ	rondo program platform gener model manag	melnik rahm bernstein	"sigmod conference,"	2003	22343
conf/sigmod/KangN03	schema match opaqu column name data valu	kang naughton	sigmod conference	2003	379
ABztkd0E9lUJ	schema match opaqu column name data valu	kang naughton	"sigmod conference,"	2003	33713
journals/sigmod/PuSW01	infospher project system support inform flow applic	schwan walpole	sigmod record	2001	384
nkW4iN6JqfAJ	infospher project system support inform flow applic	schwan walpole	"sigmod record,"	2001	33212
journals/sigmod/MeltzerC98	xml electron commerc enabl network economi	meltzer glushko	sigmod record	1998	390
77mq-gn4LiAJ	xml electron commerc enabl network economi	meltzer glushko	"sigmod record,"	1998	35294
journals/sigmod/BichlerSZ98	componentbas ecommerc asses current practic futur direct	bichler segev zhao	sigmod record	1998	392
fQNdA5cjapAJ	componentbas ecommerc asses current practic futur direct	bichler segev zhao	"sigmod record,"	1998	21996
journals/sigmod/EisenbergM98a	sqlj part 0 known sqlolb objectlanguag bind	eisenberg melton	sigmod record	1998	396
AatoNnELw78J	sqlj part 0 known sqlolb objectlanguag bind	eisenberg melton	"sigmod record,"	1998	39144
journals/sigmod/Ritter98	middlewar muddl	ritter	sigmod record	1998	397
mzqmEYGGT_IJ	middlewar muddl	ritter	"sigmod record,"	1998	44153
conf/sigmod/OlstonW02	besteffort cach synchron sourc cooper	olston widom	sigmod conference	2002	398
pBKI-JCAlcIJ	besteffort cach synchron sourc cooper	olston widom	"sigmod conference,"	2002	2288
journals/sigmod/ReichB98	component architectur dynam electron market	reich benshaul	sigmod record	1998	403
HzOZXA_VJk8J	component architectur dynam electron market	reich benshaul	"sigmod record,"	1998	32708
journals/sigmod/JenningsNF98	adept agentbas approach busi process manag	jennings norman faratin	sigmod record	1998	406
YiZVv5kVDb4J	adept agentbas approach busi process manag	jennings norman faratin	"sigmod record,"	1998	49414
conf/sigmod/KornMZ03	ipsofacto visual correl tool aggreg network traffic data	korn muthukrishnan zhu	sigmod conference	2003	413
6VAQeD6muakJ	ipsofacto visual correl tool aggreg network traffic data	korn muthukrishnan zhu	"sigmod conference,"	2003	842
conf/sigmod/SengarH03	plastic reduc queri optim overhead plan recycl	sengar haritsa	sigmod conference	2003	416
7Mtanhr8EKoJ	plastic reduc queri optim overhead plan recycl	sengar haritsa	"sigmod conference,"	2003	49339
conf/sigmod/ZhuSZ03	queri hum  action technolog reveal	zhu shasha zhao	sigmod conference	2003	420
7VSlB0yIt3YJ	queri hum  action technolog reveal	zhu shasha zhao	"sigmod conference,"	2003	46489
journals/sigmod/RoantreeMH99	oasi multidatabas prototyp	roantree murphy hasselbring	sigmod record	1999	424
JJK6WGPyubgJ	oasi multidatabas prototyp	roantree murphy hasselbring	"acm sigmod record,"	1999	52448
journals/sigmod/Danish98	build databasedriven electron catalog	danish	sigmod record	1998	427
mKZyoPZArGcJ	build databasedriven electron catalog	danish	"sigmod record,"	1998	44894
conf/sigmod/DeshpandeNGS03a	irisnet internetscal resourceintens sensor servic	deshpande nath gibbons seshan	sigmod conference	2003	430
sfB17Fi4MZsJ	irisnet internetscal resourceintens sensor servic	deshpande nath gibbons seshan	"sigmod conference,"	2003	45192
journals/sigmod/Hampapur99	semant video index approach issu	hampapur	sigmod record	1999	448
I-r1LE1najAJ	semant video index approach issu	hampapur	"sigmod record,"	1999	7533
journals/sigmod/SycaraKWL99	dynam servic matchmak among agent open inform environ	sycara klusch widoff	sigmod record	1999	450
YgouJdrCoZQJ	dynam servic matchmak among agent open inform environ	sycara klusch widoff	"sigmod record,"	1999	19730
conf/sigmod/ShashaB02a	databas tune principl experi troubleshoot techniqu part	shasha bonnet	sigmod conference	2002	451
url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
journals/sigmod/PapazoglouH99	contextu inform space feder digit librari	papazoglou hoppenbrouwers	sigmod record	1999	452
WbsAK4ZE17YJ	contextu inform space feder digit librari	papazoglou hoppenbrouwers	"sigmod record,"	1999	27649
journals/sigmod/SouzaS99	effici materi use view data warehous	souza sampaio	sigmod record	1999	453
lSJVvYYknn0J	effici materi use view data warehous	souza sampaio	"sigmod record,"	1999	32559
conf/sigmod/ViglasN02	ratebas queri optim stream inform sourc	viglas naughton	sigmod conference	2002	454
2aeb_pBP7lcJ	ratebas queri optim stream inform sourc	viglas naughton	"sigmod conference,"	2002	18746
journals/sigmod/KuanL99	studi data point search hgtree	kuan lewis	sigmod record	1999	457
lkrtCULVA6oJ	studi data point search hgtree	kuan lewis	"sigmod record,"	1999	59599
conf/sigmod/HinneburgKW02	hdey visual cluster high dimension data	hinneburg keim wawryniuk	sigmod conference	2002	458
VWd7jhLXfV0J	hdey visual cluster high dimension data	hinneburg keim wawryniuk	"sigmod conference,"	2002	56738
journals/sigmod/CeriFP99	design principl dataintens web site	ceri fraternali paraboschi	sigmod record	1999	459
zCbDZVfxWhAJ	design principl dataintens web site	ceri fraternali paraboschi	"sigmod record,"	1999	45995
conf/sigmod/Bonnet02	go public opensourc databas databas research	bonnet	sigmod conference	2002	462
bqyt1789jJ8J	go public opensourc databas databas research	bonnet	"sigmod conference,"	2002	6026
journals/sigmod/DomenigD99	overview classif mediat queri system	domenig dittrich	sigmod record	1999	467
S6TMGRGUq1IJ	overview classif mediat queri system	domenig dittrich	"sigmod record,"	1999	15222
conf/sigmod/MaddenH02	distribut queri lowpow wireless sensor network	madden hellerstein	sigmod conference	2002	468
NXakCefUcdUJ	distribut queri lowpow wireless sensor network	madden hellerstein	"sigmod conference,"	2002	57438
conf/sigmod/AgrawalCD02	dbxplorer enabl keyword search relat databas	agrawal chaudhuri das	sigmod conference	2002	469
iABZEL2Zoz8J	dbxplorer enabl keyword search relat databas	agrawal chaudhuri das	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	38382
journals/sigmod/RosenthalS99	firstclass view key usercent comput	rosenthal sciore	sigmod record	1999	491
c6lzPzSWbKAJ	firstclass view key usercent comput	rosenthal sciore	"acm sigmod record,"	1999	27007
journals/sigmod/RamDD99	distribut transact practic	ram drew	sigmod record	1999	493
uA-E1lBgLe0J	distribut transact practic	ram drew	"sigmod record,"	1999	38769
journals/sigmod/PapianiWDN99	distribut scientif data archiv use web xml sqlmed	papiani wason dunlop nicole	sigmod record	1999	495
HxmnEeCigX8J	distribut scientif data archiv use web xml sqlmed	papiani wason dunlop nicole	"sigmod record,"	1999	59280
conf/sigmod/MoonWH02	gener match subsequ match method timeseri databas base gener window	moon whang han	sigmod conference	2002	498
rlfxeE4k2p4J	gener match subsequ match method timeseri databas base gener window	moon whang han	"sigmod conference,"	2002	18119
journals/sigmod/HansonN99	timerdriven databas trigger alert semant challeng	hanson noronha	sigmod record	1999	500
b5uRDGKYrcMJ	timerdriven databas trigger alert semant challeng	hanson noronha	"sigmod record,"	1999	17490
journals/sigmod/Libkin99	remark variabl independ closur orthograph dimens constraint databas	libkin	sigmod record	1999	501
zSO1Y5W7WkwJ	remark variabl independ closur orthograph dimens constraint databas	libkin	"sigmod record,"	1999	31189
conf/sigmod/BrunoC02	exploit statist queri express optim	bruno chaudhuri	sigmod conference	2002	505
KAf2DUUVabIJ	exploit statist queri express optim	bruno chaudhuri	"sigmod conference,"	2002	29630
journals/sigmod/Abiteboul99	view xml	abiteboul	sigmod record	1999	506
J_7kZS39msAJ	view xml	abiteboul	"sigmod record,"	1999	62245
conf/sigmod/Ramanan02	effici algorithm minim tree pattern queri	ramanan	sigmod conference	2002	507
VGe-IBWyMm4J	effici algorithm minim tree pattern queri	ramanan	"sigmod conference,"	2002	59315
conf/sigmod/VriesMNK02	effici knn search vertic decompos data	vries mamoulis nes kersten	sigmod conference	2002	509
dVn0Led5JLAJ	effici knn search vertic decompos data	vries mamoulis nes kersten	"proceedings of the acm sigmod international conference on  &hellip;,"	2002	18427
journals/sigmod/MusickC99	practic lesson support largescal comput scienc	musick critchlow	sigmod record	1999	510
mA4kKq9Z3tYJ	practic lesson support largescal comput scienc	musick critchlow	"sigmod record,"	1999	10204
conf/sigmod/GaoW02	continu evalu similaritybas pattern queri stream time seri	gao wang	sigmod conference	2002	511
PZTESZecfnQJ	continu evalu similaritybas pattern queri stream time seri	gao wang	"sigmod conference,"	2002	46903
journals/sigmod/McHughW97	integr dynamicallyfetch extern inform dbm semistructur data	mchugh widom	sigmod record	1997	514
dAnyGPqToQEJ	integr dynamicallyfetch extern inform dbm semistructur data	mchugh widom	"sigmod record,"	1997	21834
conf/sigmod/DobraGGR02	process complex aggreg queri data stream	dobra garofalakis gehrke rastogi	sigmod conference	2002	516
v7A9Otp7OjsJ	process complex aggreg queri data stream	dobra garofalakis gehrke rastogi	"sigmod conference,"	2002	57628
journals/sigmod/NestorovAM97	infer structur semistructur data	nestorov abiteboul motwani	sigmod record	1997	520
NVS_rDpScp0J	infer structur semistructur data	nestorov abiteboul motwani	"sigmod record,"	1997	50884
journals/sigmod/NadoH97	extract entiti profil semistructur inform space	nado huffman	sigmod record	1997	523
yN9f4dSKC9QJ	extract entiti profil semistructur inform space	nado huffman	"sigmod record,"	1997	18622
journals/sigmod/AshishK97	wrapper gener semistructur internet sourc	ashish knoblock	sigmod record	1997	525
rWfbcLnj7_YJ	wrapper gener semistructur internet sourc	ashish knoblock		1997	35583
conf/sigmod/DasuJMS02	mine databas structur build data qualiti browser	dasu johnson muthukrishnan shkapenyuk	sigmod conference	2002	530
POt1WbTBB4cJ	mine databas structur build data qualiti browser	dasu johnson muthukrishnan shkapenyuk	"sigmod conference,"	2002	9640
journals/sigmod/GrayG97	fiveminut rule ten year later comput storag rule thumb	gray graefe	sigmod record	1997	531
fFCqy9V5XNgJ	fiveminut rule ten year later comput storag rule thumb	gray graefe	"sigmod record,"	1997	3293
journals/sigmod/DadamK97	databas inform system research group univers ulm	dadam klas	sigmod record	1997	535
9Ai_9dZChG4J	databas inform system research group univers ulm	dadam klas	"sigmod record,"	1997	16198
conf/sigmod/TaoP02	timeparameter queri spatiotempor databas	tao papadias	sigmod conference	2002	537
fDWfHiQ6BR4J	timeparameter queri spatiotempor databas	tao papadias	"sigmod conference,"	2002	25812
conf/sigmod/PolyzotisG02	statist synops graphstructur xml databas	polyzotis garofalakis	sigmod conference	2002	541
obfTDYVJb4gJ	statist synops graphstructur xml databas	polyzotis garofalakis	"sigmod conference,"	2002	37953
conf/sigmod/YangWYH02	mine long sequenti pattern noisi environ	yang wang han	sigmod conference	2002	546
xsaovu54vl4J	mine long sequenti pattern noisi environ	yang wang han	"sigmod conference,"	2002	62330
conf/sigmod/ChoiC02	select estim spatiotempor queri move object	choi chung	sigmod conference	2002	548
D8a4umAppIcJ	select estim spatiotempor queri move object	choi chung	"sigmod conference,"	2002	37987
